,condition,review
1373,0,"""wow the side effects! I have never experienced acne like this before....I seriously break out all the time and I&#039;m 31 years old I wanted the 5 year plan but I&#039;m breaking out like I remember 7th grade"""
1459,0,"""While effective in decreasing my depression, I developed almost every side effect listed, (including anxiety, muscle soreness, unbearable joint pain, excessive sweating, severe memory loss, GERD, dysuria, brain shivers, hypothyroidism, loss of menstruation) and found myself on medications to treat each of them, ultimately using 19 prescription medications to deal with the side effects.  If I could have anticipated the side effects, and the expected difficulty of weaning off this, I would have continued to search for a better alternative.  """
1555,1,"""I have used Prevacid 30mg (lansoprazole) for almost a year now. It works wonders for my acid reflux, except when I&#039;m bad and eat something to trigger it!  I have found it works better when not used daily.  My Doctor said do not take it every day as the effects will wear off sooner, take it when you need it or on a day you know you will be eating something to trigger your acid reflux.  As any other medication the effects of relief will wear off but, when you stagger, you take it. It works all the time."""
1580,0,"""I have fibromyalgia and have slowly got worse over the years. I took Cymbalta 30mg for the first week, suffered a naggy headache for 3 days, but could still work. Pain gone in a week, completely. The only side effect I have is tightening of the throat, which I can live with. Unfortunately the snoring my husband can&#039;t. I went to the doctors today and he has put me on Pristiq to see if this stops the tight throat. If not I will go back onto Cymbalta. These had such an amazing effect on my life."""
1614,1,"""I&#039;ve been taking this for nearly a year now, and I can honestly say I&#039;ve been heartburn-free since the day after I started taking it. I can eat all the things that I love but used to keep me up all night (tomato sauce, bananas and peanut butter were the worst). 
It is quite expensive, about a $1 a pill with insurance, but worth every penny. It&#039;s can also be a hassle because I have to wait to eat in the morning after I take it, but I am able to get something at work.
I took Tagamet for a while, then Zantac (75 and then 150), and both those stopped working after a few months. Tums, Rolaids and all the other chewables, and liquids like Mylanta all quit working years ago. My doctor decided to step it up and prescribe this to me and my life changed."""
1631,0,"""I have been ill for 40 of my 52 years with my rare condition called Autonomic Nerve Dysfunction(POTS).
The pain I suffer from this condition is so bad I roll around the bed in pain , cannot walk and am bedridden at times and am unable to think straight.
I started Oxycodone 3 years ago because my pain level reached 10 at times. 
I take 40mg of slow release every 24 hours (plus other drugs) since another tumor was found. I&#039;ve added 20mg at night because I cannot lay on my arm until sorted.
I DO NOT drive with this in my system, but other than this I&#039;ve had no side effects. This drug gave me back my life and I can actually smile again."""
1681,1,"""Worked at first to bring heartburn/acid re-flux under control, however I had to stop taking it because it started causing severe stomach &amp; abdominal pain. Now control through diet &amp; Tums EX. The pain from the Protonix side effect was terrible when it started happening."""
1733,1,"""I have been diagnosed with extreme acid reflux (more to come later on),
Approximately 1 1/2 years ago my bad acid went out of control and started to come up in my mouth walking/sitting/laying down.
I went to see my gastroenterologist and he sent me off to see a surgeon.
The surgeon says I need a operation that amounts to be a gastric bypass.
I did not like the diagnosis, About that time my gastroenterologist decided to drop all his medicare patients.
I went to another hospital/gastro guy and he wanted me to stop all my ant-acid meds (2 ACIPHEX 2&nbsp;RANITIDINE and 2 Omeprazole)  for a week, After one days I was asking him to allow me to stay on 

For some reason the site is not allowing me to enter more details."""
1860,1,"""I know some people of had terrible experiences with this medication I however have had phenomenal results. Within my GERD  had greatly subsided. I&#039;m down to taking it every other day and I have had no problems whatsoever. I&#039;ve tried everything else and nothing else worked."""
1887,1,"""Zantac has been very good at keeping my heartburn/reflux under control. """
1957,1,"""....kinda ran out of room so this is a 2nd post,hope that&#039;s ok.
Anyone suffering from cramps, diarrhea, bloating, emergencies, after taking this medication should read:
I have gotten a dairy allergy after using this medicine, I would highly recom-
Mend total withdrawal of dairy if you have had a similar experience. I&#039;ve been dealing with these side effects for 10  months and tried various things. I assumed it had just aggravated my IBS as symptoms slowly subsided yet after a vacation with too much Rich restauraunt food, symptoms ( 3am emergency waking, constant cramps, ect.) returned. Only after total removal of dairy Am I kind of back to normal, I am able to access medical cannabis living in Canada which can drop 4-6 movements/ to1-2 day!"""
1981,0,"""This is supposed to stop the infection externally but it really did not help my irritation very much."""
2040,1,"""I have tried everything to ease the pain and discomfort of acid reflux. Then I was introduced to the &quot;purple pill&quot;, Nexium, about three years ago and to my total surprise it worked. So now I&#039;m a &quot;firm believer&quot; in the product. I&#039;m very, very satisfied. Thank you Nexium!"""
2097,1,"""expensive"""
2132,0,"""I had smoked since I was a teenager, at about a pack a day when I finally said enough is enough.  I used Chantix which was prescribed by my MD and that was Labor Day 2012.  I had little to no side effects, may have had a weird dream, but hardly considered a night terror.  I am 50 years old and I am thankful every day now to refer to myself as a &quot;non-smoker&quot;.  Have had no desire whatsoever since then to ever consider smoking again... If you are on the fence and really want to stop for you, your health and to free yourself from the prison of smoking, all I can say is that it worked for me and thankful for my smoke free car, home, life...."""
2173,0,"""I just used this product about 45 minutes ago. So far so good! I have a little bit of discomfort but that was there before I used the product. I had a lot of white discharge before use!(due to yeast infection) I recommend this product. On a scale of 1-10 the itching burning is only about 3-10! If it works fast and properly I&#039;d highly recommend!"""
2184,0,"""I&#039;m so all over the place with this birth control. I&#039;m 19 years old, and currently started on my 2nd month. During the first month I had severe mood swings with extreme bought of depression and rage. To the point if someone accidentally bumped into me at the store, I wanted to engage in a physical altercation. My acne was also increasingly horrible for about a week. However, now my mood has stabilized (except I&#039;m still susceptible to depression easily) as well as my acne. BUT I HAVE STARTED LACTATING! Yes, lactating. I have had the breast tenderness throughout being on the pill but yesterday I actually started noticing milk out of one of my breasts so far. I&#039;m so concerned. This is not something I was warned about.. I&#039;m not sure what to do"""
2234,0,"""Bone Spur with Osteoarthritis and severe pain in my left knee before I began the 3 injections. Received the last of the the 3 today. I am amazed at this treatment. I am noticing a difference and it is huge. I went from using a cane to walking on my own, pain free."""
2344,1,"""Little to no heartburn after taking Nexium for 3 days now but high blood pressure, tingly cramps in my stomach that bring me to the verge of throwing up, light headache, difficulty sleeping, throats constrictive. Not sure if I can keep taking Nexium."""
2396,0,"""I am 20 years old and I just started the rivaroxiban 2 weeks, after they found a clot in my arm ! I&#039;m on 20mg twice a day for 3 weeks and then 15mg for 3 months. I find I am really tired all the time and I do get a good bit of sleep at night too ! I never usually got headaches before but now I find around a hour after taking the pill I get a headache ! Just wondering is this due to the pill or am I just overthinking it !"""
2448,1,"""Still have the occasional heart burn, but over all I love it."""
2451,1,"""I have had GERD for many years and have tried everything. Prevacid works the best. I take 30 mgs a day. """
2528,0,"""I am a white teenager, with combination &amp; sensitive skin that flares up really badly at the slightest of things. My dermatologist prescribed me Epiduo and I tried it for nearly three or so months, but I found that it did nothing but dry out my skin and caused it to turn red. My acne did not go away, so I looked for other things. If you have skin like mine, look for things with Salycic Acid. I have a set of facial wipes with 1% Salycic Acid and Clinique Acne Gel with 2% Salycic Acid and this, in addition to a normal Clean &amp; Clear facial wash, has cleared up my acne entirely. Hope this helps."""
2565,1,"""Prevacid has greatly improved my day and night living."""
2696,0,"""I had gottten my skyla put in about a month ago, and i have yet to stop being in pain. The insertion was painful but I thought it would eventually ease up do to just getting it put in. Lets keep in mind i am 17 and I have never had a kid. But ever since I got the skyla I have been on a non stop period and been having cramps such as feeling like im being stabbed in the uterus and in the back by knifes it was completely aweful I have chosen to get it removed and I don&#039;t recommend it."""
2775,0,"""I started on pramipexole hydrochloride 6 years ago and at first suffered from jerking all the time. My head would always jerk to the left, my shoulders would jerk up and down and my legs shook all the time if I stood still or sat down. The recommended dosage didn&#039;t have any effect on the RLS at all and slowly the dose was raised. The jerking subsided after a few weeks and I was able to lead a happy life until a couple of months ago when it stopped working. It was wonderful for 6 years then over about a month it stopped having any effect whatsoever."""
2828,1,"""This drug is incredible. I had trouble every time I drank orange juice or lemonade. When I take Nexium I can drink both without pain. It&#039;s wonderful."""
2983,1,"""I have taken Prilosec for over 15yrs. It works great for the heartburn/reflux/gerd. But let me tell you what it took away from me! It dropped my iron and my iron stores to the bottom, it also took my B12 to the bottom. It also after years of taking it gave me anxiety, cramping of muscles and lead to my potassium being low as well. Then most recently I kept having a horrible burning in my stomach, well guess what Prilosec gave me most of all! A stomach full of gastric polyps!! So now I have weaned myself off this horrible medicine cause gastric polyps are a side effect of it and no one tells you! And if you keep taking it , well guess what it makes even more in your stomach once it starts!! So I weaned myself off it, took over a month"""
3099,1,"""Took it for 3 days and had severe anxiety attack.  Went from being so sleepy to extremely anxious.  Acted so strange my kids asked if I had been drinking! Felt much better within 24 hours of stopping.  If you suffer from depression/anxiety, don&#039;t take this."""
3187,1,"""The best PPI I have used and I have tried them all. I was always needing to take the other once daily PPIs twice a day but not this one! My insurance refused to pay for the Nexuim I was on so I was required to switch...I am so glad that happened! Only costs $22 a month with my insurance and the company coupon."""
3249,0,"""I had basically not slept for like 5 years. I&#039;d been prescribed numerous meds that didn&#039;t work. Finally, my psychiatrist prescribed Restperil and it has worked wonders. I finally have my life back and can function during the day. I only wish I&#039;d found it sooner. The 30mg works wonderful for me. I feel great in the mornings and I don&#039;t feel drugged out. I haven&#039;t noticed any side effects whatsoever."""
3613,1,"""Have tried several different brands before Aciphex.  I love it. I have not had heartburn in 5 months.  Unbelievable."""
3618,1,"""I have had severe GERD for over 11 years and have taken prescription Prilosec and it worked great.  However, all of a sudden it stopped working and I was miserable and couldn&#039;t sleep, eat, or think about anything other than how much my stomach and esophagus hurt.  The doctor prescribed Kapidex and the GERD totally went away; however terrible intestinal pain, gas, and watery loose stools began.  I tried for 2 weeks in hopes the side effects would go away but they didn&#039;t so now I am back to Prilosec and pain but at least I can leave the bathroom."""
3747,0,"""I got the Nexplanon around 3 months postpartum. I was exclusively breast feeding and figured it would be easier while everything was suppressed from breast feeding. I had a horrible bruise (but who cares?), and low back pain with crampiness (I expected it). I got a period right afterward which was light, but for 2 weeks. That subsided and I thought I was home free! But shortly afterwards I began to get stressed, anxious, irritable, and angry. I thought I might be pregnant, but wasn&#039;t. That&#039;s when I realized after 4 weeks it&#039;s the Nexplanon! I&#039;m getting it out tomorrow. It&#039;s so bad that I&#039;m mean to my kids, made my son cry and I can&#039;t- just can&#039;t be mean mommy anymore. I wish I would have realized sooner it&#039;s the Nexplanon."""
3752,0,"""This is a very good invention! I had my first implant back in 2012. As expected, I had heavy periods which lasted for 3 weeks to a month, and sometimes, my period overlaps monthly. But what happened to me was explained to me by the doctor before I decided to have the implant. That was no biggie actually because I&#039;ve been having heavy and longer periods even before I had the magic rod. Yes, that&#039;s how I call it :) now, I have my 2nd rod inserted last year. I only have my period every 2 months, though still heavy and really lasts long, I am still ok. I just got anemic, but thanks to my iron supplement, I am so ok. Feel free to try. There is no harm in trying, especially if you know what you have to deal with ;)"""
4005,0,"""After being switched from Vyvanse Capsules to Dextroamphetamine tablets, I can respire better."""
4435,1,"""Works for all of five minutes.  When you take too much I get stomach pain."""
4468,1,"""I tried Prilosec first for my heartburn symptoms but I noticed I had to take it a couple of times during the day which quickly added up.  I found myself spending quite a bit of money."""
4673,0,"""I was put on Valium 5 mg. ( generic Diazepam) twice daily for 2 reasons. Severe muscle spasms, and anxiety. It works well for sleeping, and I do not wake up feeling hung over like I was on Robaxin. I am a Nurse&#039;s Aide and Valium can be highly addictive, so I only take it as needed when spasms and anxiety are bad."""
4694,0,"""I was just prescribed modafinil and I was happy I picked up my prescription on Friday so I had the weekend to try it out. So yup- I woke up and cleaned things I haven&#039;t cleaned in months with incredible focus. I didn&#039;t feel scattered, didn&#039;t lose my train of thought, my attention span was excellent. It almost made me wonder if I had ADHD and never knew it. But anyway, I took 100mg, half a pill at a time. No headache, no nausea, I ran a couple miles and did okay. I was able to feel good and not be tired and even got to play with my kids in the evening- something that never happens because I&#039;m usually too exhausted to do anything like that. Overall, I&#039;m feeling a ton better!"""
4741,1,"""started 2 weeks ago with this dexilant, ever since then my symtoms got worse, dizzy, stomach and lower back pain, hard to swallow food, passing gas and burping  a lot more.    Would not recommend this drug to my enemy. If I knew what this drug did for me that made it worse I would of not taken it. Worst drug on the market,  and they want $300.00for a month for this pill, NO WAY. Not me. No wonder why my insurance would not cover it.  Believe me if you are taking it and feel more sick then you did, STOP TAKING IT. With a few days when the drug gets out of your system you will feel better and you will not have to see dr or keep going to hospital and they find nothing wrong with you."""
4852,1,"""This was a dream come true...until the diarrhea came. I had zero GERD symptoms for the first time in 14 yrs. It was so disappointing when I developed uncontrollable diarrhea that lasted 22 days. I stopped taking the medication and it took another week for the symptoms to go away. I gave it a 2 month break, tried it again when I was having a very bad day with my hiatal hernia and GERD. It only took 2 days for the symptoms to come back this time. Really very sad I have to choose between pain and diarrhea."""
4926,1,"""I have tried almost every acid reducer made in the last 20 years and nothing worked until I took prevacid 30mg 2x a day. I has severe stomach pain, cramps, pain under right shoulder.  Thought I was having a heart attack.  One 30mg pill didn&#039;t do it, I still needed antacids.  Another Dr suggested 2x a day.  It worked.  It took about 4 weeks for my symptoms to go away.
I could eat anything.  Periodically I&#039;ve tried to reduce the amount by slowly reducing the mg, but symptoms always came back.  I&#039;ve tried the generic version because my insurance co would cover it at this high dose, but symptoms came back after a few months.  Generic versions are just not the same."""
4983,1,"""I began taking Prevacid probably 10 years ago, stopped occasionally, but found I could not go long without needing it.  I never thought of anything bad coming of it, I felt wonderful, no heartburn, no need to watch what I ate anymore, no more waking up at night needing antacids.  Well, a few years ago, I started having severe foot and ankle pain and weakness, and last September, I fell in the yard and severely broke my ankle, requiring ORIF surgery to put in a plate and screws.  My ankle will never be the same.  Gone are the 4 mile walks I used to enjoy daily, and, I have also developed some heart palpitations, higher blood pressure readings, and I feel it is all due to my long term use of Prevacid.  I stopped taking it almost 2 months ago."""
5196,1,"""The medicine works great but gives me headache, diaharrea, and nausea upon waking."""
5323,0,"""In 1990 due to the stress of my father and my husband having life-threatening health issues, I, who was a very healthy person, wound up in the doctor&#039;s office explaining of my excruciating abdominal pain, my weakness, nausea, and desire to sleep.  I was given a prescription for Librax. and was told if it was Irritable Bowel Syndrome, Librax would help me. It was a life-saver!  Since then I&#039;ve suffered three or four episodes, but none as severe as the first two.  They always come during a time of &#039;life stress&#039; issues.  No insurance.  No negative side effects of Librax for me!"""
5345,0,"""I&#039;m 19 years old had a daughter who&#039;s now 6 months old, Never used a birth control and decided to go with the Mirena I&#039;m bad at remembering things. I got the Mirena inserted last week even though I had a baby it was a little painful inserting it she said my cervix was pretty high. The next day I was normal. Drink some ibuprofen you&#039;ll be fine. I get cramps here and there but again it&#039;s only been a week my boyfriend says he only feels the strings but it doesn&#039;t bother it only tickles, so far so good."""
5603,0,"""I have been on saxenda for almost 4  months and lost 30 pounds! I am experiencing very little side effects. The only thing that I keep asking myself is once I reach my weight goal, what happens next? am I supposed to just stop the medication? What happens once we stop the medication? Im so afraid to gain the weight back... has anyone reached their goal and stopped the medication? Anyone can share their experience?"""
5625,0,"""I&#039;m 40 and had my first colonoscopy due to family history of colon cancer (recommended 10 years prior to parent&#039;s diagnosis). Took first dose at 10:00 a.m., second at 10:00 p.m. (my procedure was at 7:30 a.m.). Was on a clear liquid diet day before which consisted of Jell-O, chicken broth, and popsicles: I chose not to drink fruit juice as some reviews mentioned acidity making diarhea painful. 
Suprep tastes absolutely horrendous...super salty, super strong grape Kool-Aid: could/should have mixed with Crystal Light or Ginger Ale. Got first dose down but only half of second as I was gagging... Doctor had to irrigate some but everything looked great and no polyps! Recommend lighter diet 3 days before for easier prep. Procedure was super easy!"""
5914,1,"""when taken with an antacid, I sleep like a baby. No waking up with my dinner in my throat or lungs. Not tired during the day. Great stuff for a person who refuses to take drugs.."""
5926,1,"""I was recently diagnosed with GERD.  Of course this was after a trip to the hospital thinking I was having heart problems.

The Doc put me on Protonix and after about 1 week it&#039;s as if my life was back to normal.  Unfortunately, my insurance doesn&#039;t cover it any more so I gave it a &quot;9&quot; instead of a &quot;10&quot; rating for this alone.  With many generic others costing only $5 for 60 days.

Anyway, I suggest that if you do try it, give it a few days to work."""
5951,0,"""I had a dry spot just above my lip on the right side. After using biafine for two weeks it has cleared away."""
6117,1,"""The best thing that ever happened to me as far as medication is concerned. I have been on this for 7 years after a lifetime of Rennies and similar unhelpful &quot;blanks&quot;. I have never had a problem since starting on pantoprazole."""
6274,0,"""I just started using Halobetasol today.  I will come back to write if my condition is getting better"""
6404,1,"""Ever since I put on weight, I&rsquo;ve been experiencing occasional reflux (about once a week). I never knew how painful reflux could be. Another symptom I&rsquo;ve been having is regurgitation and belching. At times, I&rsquo;ll wake up coughing because I&rsquo;m choking on regurgitate. It&rsquo;s scary and leaves my esophagus and throat burning. ZANTAC is my go-to. It works every time. Tonight I had reflux and I felt it dissipate within 5 minutes of taking the Zantac tablet. The pain was completely gone in 10 minutes. I&rsquo;ve also started sleeping with my head up about 30 degrees and that helps too."""
6463,1,"""I have taken both prescription and OTC Prilosec.  After losing my prescription coverage, I changed to OTC version and have had great results.  I try to take my pill at least 2 to 3 hours before lunch. It works very well for me."""
6503,1,"""I was having a hard time having an appetite and getting full fast. It has helped me now eating better, I still have my IBS attacks with this pill or without it. Does help with acid reflux severe"""
6622,1,"""I started taking Prilosec over 6 years ago. It was very effective at helping with the acid and GERD symptoms, however my Doctor prescribed two tablets a day (Over recommended dosage-due to seriousness of Gerd). I seem to be fine until I started getting horrible spasms in my sides and intestines. I broke my ankle in March and the spasms were bad and the spasms worsened. I had my calcium checked and I was dangerously low. We backed down to 1 Prilosec and the spasms disappeared. So watch your calcium with higher doses."""
6806,0,"""Had severe mood swings, dry eyes to the point of not being able to wear contacts, weight gain, breast tenderness.  """
6983,1,"""This sample was given to me and it is 60mg.  I was told to take 3x per day with meals.   Burning stopped right away  but now I have severe diarrhea after 4 days and feel so bloated.  Doctor told me to go on liquid diet and discontinue use.  I will see him in 2 days."""
7002,1,"""I tried all drug for GERD like pantoperazole , omprezole , lansoperzole ,ranitidine but get 50% relief.  I just used esomprezole 40 mg and got me 100% relief. Life saver. I am very happy find this."""
7060,0,"""Just had an awful night from the effects of Cabergoline 0.5mg ..felt like there was poison in stomach and the abdominal pain is just too much. Had to vomit and had diarrhoea at the same time. It just happened so sudden. Most time just had bad cramps and abdominal pain. Bad times I get this combo of pain diarrhoea vomit and dizzy. 4 hours usually of intense abdominal pain And nightmare. I had started on the meds 9 years ago and stopped because of the cost and the cost for the Doc and the pain. But it works. It brought down the prolactin and menstrual does comes back. but once I stop he meds everything went back to the same prolactin level &gt;250.

Wish there&#039;s no side effect. It&#039;s a painful experience and since I had to take it every week."""
7094,1,"""I swapped to Zantac after Nexium, which did not work well for me.  Zantac has been great; not having any trouble sleeping, symptoms of reflux have gone, have my energy and concentration back.  So much better than Nexium, one third of the cost, and available without prescription."""
7342,1,"""I have had stomach issues since childhood and so far no doctor has found the underlying cause.  However, in the meantime I was prescribed Reglan and it works.  I have been taking this medication on an as needed basis for over a year. I don&#039;t think it is a miracle worker...but it definitely helps.  """
7399,1,"""I had tried every other medicine out there, and none of them has worked for me like Protonix does.  In combination with Carafate, I feel like me again. The chest pain, burping and burning has almost completely went away. No side effects at all. I highly recommend this medication.."""
7519,1,"""Took first pill yesterday, later on that day I started feeling lightheaded and dizzy, and by evening headachy. This morning I looked at this sight and saw that dizziness was one of side effects. """
7686,1,"""Horrible side effects. My mouth and tongue swelled up. Difficulty swallowing which is why the doctor prescribed it for me in the first place. He said it was a symptom of &quot;silent&quot; acid reflux. Found a rash on my leg. Heart palpitations and massive stomach aches.

Didn&#039;t do a thing for reflux or the belching and burping it was suppose to cure."""
7734,0,"""Started with 1000 mg Metformin ( took one pill 4 times a day!) in summer 2015 - bad, bad diarrhea. Changed to 100 mg /day Januvia  - only had bad diarrhea - Late summer 2016 started in Invokana - Starting in November I&#039;ve had 3 yeast infections thru Jan 1, 2017. Also very thirsty - no hair loss - yet! - some leg cramping - painful in the calves of my legs - blood sugar control ok - I used to be 5.0 (for 10 years) on insulin. Then Doc said I&#039;m over 65 so my blood sugarts (A1Cs) should be higher so I don&#039;t go low - but in all the years I&#039;ve entertained diabetes (since 1991) I&#039;ve never gone low - so I don&#039;t understand this concern. Am seeing doc on Jan 9 - have to see where it goes from here - everyone is right about the yeast infections """
7752,0,"""This treatment has been truly transformational for me. I&#039;m on round 2, and already have gone from 24/7 chronic migraine with horrid aura to 4 days a week with the first round and now 2 days a week with this second round. My migraines are super short now... only an hour for the pain, and aura is much shorter lived at minutes to hours instead of days. The intensity of my aura is really really low now (instead of debilitating vertigo 24/7) and my pain is usually a 0-3 now with occasional 5 instead of 5-9 where it was before. It feels like I&#039;m on vacation. I was really skeptical to try Botox, but I had tried so many meds prior and was desperate. Now I&#039;m working again, spending time with my family, and enjoying life. Try it if you can afford it."""
8033,0,"""I had struggled back and forth for 5 years will opiates. I lost everything I had in my life, my home, jobs, cars, plenty of money, and even my family, my kids included. I decided to try and quit them myself with no success. I then went to a suboxone doctor who had me on 2 strips a day. I have been successfully on Suboxone for a year now with no relapse. Things in my life have also started to come back together. Suboxone has been a true life changer for me."""
8046,1,"""Worked great now I am forced to take something else because my new insurance will NOT cover it at all."""
8305,1,"""Was given this to substitute for Protonix due to insurance conflicts and price. This works better than anything before as long as you keep it regular in your system. I have only experienced minor side effects while on it thus far, including minor cramps, loose stools and an occasional rash on my neck or face (which is common)."""
8340,1,"""I have acid reflux for 10 years and have been on every PPI and H2 blocker on the market nothing worked did test after test nothing was found, started getting nausea (extreme nausea) and Nothing helped finally my doc prescribed me reglan (mind you she said she only uses this as a last resort befoer surgery is considered) and BAM! Worked amazingly I still take zantac to help against small bouts of reflux but reglan has helped me gain control back of my life! I had side effects at first (nothing major I just felt restlessness in my legs) but they eventually went away! 10/10 100% recommend!"""
8348,1,"""I have had GERD since 1997. I have used Prilosec, Nexium, Aciphex, Prevacid, and Protonix (most recently).  NONE of them worked.  I was on a double-dose of Protonix when my GP sent me to the GI Specialist for a upper gastrointestina Scope.  After that I was prescribed Dexilant.  Not only has it &#039;CURED&#039; my GERD symptoms, it has also settled my IBS symptoms.  I used to have to go to the bathroom almost immediately after eating and more than once a day I would have &#039;emergency&#039; moments where if I didn&#039;t get to the bathroom quick I was in trouble.  All of those symptoms are gone.  I know this doesn&#039;t work for everyone but if you&#039;re like me and you&#039;ve tried it all you need to give this medicine a try.  It is amazing."""
8763,1,"""I was diagnosed with acid re-flux in May of 2013 while seeing an E.N.T. about some laryngitis I&#039;d had for a couple of months following a cold.  He used a camera to look at my throat and said my acid re-flux was severe and that I should begin taking a prescribed medication; Omeprazole beginning that same day.  I had never experienced heart burn in my life except while pregnant and believed the doctor was wrong, still, I did as he asked.  Omeprazole 20 mg once each morning.  After 6 mos of continued use I forgot to take it one morning.  By early afternoon I had the worst heartburn EVER.  I can&#039;t help feeling this me GAVE ME acid re-flux and now I&#039;ll have to take this medication for the rest of my life??"""
8798,1,"""I have had great results for several years with generic pantoprazole, except twice when the pharmacy used the version from Sun Pharma. Not sure the marked difference (although there was a patent lawsuit against Sun for not disclosing a slight difference in chemical structure several years ago), but taking the Sun version is pretty much like taking nothing at all. I took a week&#039;s worth this time (there is a shortage of the Teva drug I usually get) and spent last night sick to my stomach with gnawing pain and bizarre single hiccups and belches. And while the pharmacy apparently had gotten some of the Teva brand in, I had to pay the full $40 because I couldn&#039;t get another batch covered by insurance for 2 weeks. Not all generics are equal."""
9376,1,"""I tried EVERY over the counter gastric acid reliever on the planet and nothing worked. Then I got my doctor to prescribe Protonix and never had any problems after that. I was very pleased."""
9526,0,"""I was on DEPO PROVERA before Lutera. It was terrible. My mood swings were terribly out of control, bleeding was always there and depression occurred. Switching to Lutera was a good idea because it is a low dose birth control which has helped my mood swings tremendously!"""
9544,0,"""Great at first. Now I&#039;ve had stomach pain for the last 3 days. I&#039;m on my 3rd patch. Not sure if I should stop or not."""
9828,0,"""I&#039;ve had this thing in for about 2 years aND at 3 I get it taken out. At first it was great and then about a year and a half in I started bleeding heavy... everyday. I have terrible cramps, back pain, mood swings, weight gain, and worst of all constantly bleeding. I am scared to go to my doctor because I feel as if my issue isn&#039;t important but honestly I can&#039;t take it anymore. I set up an appointment and will get to the bottom of this. I can&#039;t even explain how much pain it&#039;s caused me. I hope someone can explain these symptoms to me because I just don&#039;t understand what&#039;s wrong with me."""
10028,0,"""It&#039;s amazing. First the redness goes away then no more itching."""
10051,1,"""I have used Prevacid before and it does work well"""
10098,0,"""I didn&#039;t read the directions and started taking Chantix the day after I quit.  I had smoked for 33 years.  I only took Chantix for 2 weeks after quitting.  No side effects.  I was actually amazed how easy it was to quit.  Now been smoke free for 9 years!!!"""
10131,1,"""AHHHHHHHHHHHH!  relief.  Taking for heartburn this med is the best.  No side affects, easy to swollow, and gets rid of the burn!  This is the best for heartburn I have taken."""
