,condition,review
15,0,ill year rare condition call autonomic nerve dysfunctionpots pain suffer condition bad roll around bed pain walk bedridden time unable think straight start oxycodone year ago pain level reach time take mg slow release every hour plus drug since another tumor find ive add mg night lay arm sort drive system ive side effect drug give back life actually smile
16,1,work first bring heartburnacid reflux control however stop take start cause severe stomach amp abdominal pain control diet amp tum ex pain protonix side effect terrible start happen
17,1,diagnose extreme acid reflux come late approximately year ago bad acid go control start come mouth walkingsittinglaying go see gastroenterologist send see surgeon surgeon say need operation amount gastric bypass like diagnosis time gastroenterologist decide drop medicare patient go another hospitalgastro guy want stop antacid med aciphex nbspranitidine omeprazole week one day ask allow stay reason site allow enter detail
18,1,know people terrible experience medication however phenomenal result within gerd greatly subside im take every day problem whatsoever ive try everything else nothing else work
19,1,zantac good keep heartburnreflux control
20,1,kinda run room nd posthope thats ok anyone suffer cramp diarrhea bloat emergency take medication read get dairy allergy use medicine would highly recom mend total withdrawal dairy similar experience ive deal side effect month try various thing assume aggravate ibs symptom slowly subside yet vacation much rich restauraunt food symptom emergency wake constant cramp ect return total removal dairy kind back normal able access medical cannabis live canada drop movement day
21,0,suppose stop infection externally really help irritation much
22,1,try everything ease pain discomfort acid reflux introduce quotpurple pillquot nexium three year ago total surprise work im quotfirm believerquot product im satisfy thank nexium
23,1,expensive
24,0,smoke since teenager pack day finally say enough enough use chantix prescribe md labor day little side effect may weird dream hardly consider night terror year old thankful every day refer quotnonsmokerquot desire whatsoever since ever consider smoke fence really want stop health free prison smoke say work thankful smoke free car home life
25,0,use product minute ago far good little bite discomfort use product lot white discharge usedue yeast infection recommend product scale itch burn work fast properly id highly recommend
26,0,im place birth control im year old currently start nd month first month severe mood swing extreme buy depression rage point someone accidentally bump store want engage physical altercation acne also increasingly horrible week however mood stabilize except im still susceptible depression easily well acne start lactate yes lactate breast tenderness throughout pill yesterday actually start notice milk one breast far im concern something warn im sure
27,0,bone spur osteoarthritis severe pain leave knee begin injection receive last today amaze treatment notice difference huge go use cane walk pain free
28,1,little heartburn take nexium day high blood pressure tingly cramp stomach bring verge throw light headache difficulty sleep throat constrictive sure keep take nexium
29,0,year old start rivaroxiban week find clot arm im mg twice day week mg month find really tire time get good bite sleep night never usually get headache find around hour take pill get headache wonder due pill overthinking
30,1,still occasional heart burn love
31,1,gerd many year try everything prevacid work best take mg day
32,0,white teenager combination amp sensitive skin flare really badly slight thing dermatologist prescribe epiduo try nearly three month find nothing dry skin cause turn red acne go away look thing skin like mine look thing salycic acid set facial wipe salycic acid clinique acne gel salycic acid addition normal clean amp clear facial wash clear acne entirely hope help
33,1,prevacid greatly improve day night live
34,0,gottten skyla put month ago yet stop pain insertion painful think would eventually ease get put let keep mind never kid ever since get skyla non stop period cramp feel like im stab uterus back knife completely aweful choose get remove dont recommend
35,0,start pramipexole hydrochloride year ago first suffer jerk time head would always jerk leave shoulder would jerk leg shake time stand still sit recommend dosage didnt effect rls slowly dose raise jerk subside week able lead happy life couple month ago stop work wonderful year month stop effect whatsoever
36,1,drug incredible trouble every time drink orange juice lemonade take nexium drink without pain wonderful
37,1,take prilosec yr work great heartburnrefluxgerd let tell take away drop iron iron store bottom also take b bottom also year take give anxiety cramp muscle lead potassium low well recently keep horrible burn stomach well guess prilosec give stomach full gastric polyp wean horrible medicine cause gastric polyp side effect one tell keep take well guess make even stomach start wean take month
38,1,take day severe anxiety attack go sleepy extremely anxious act strange kid ask drink felt much good within hour stop suffer depressionanxiety dont take
39,1,best ppi use try always need take daily ppis twice day one insurance refuse pay nexuim require switchi glad happen cost month insurance company coupon
40,0,basically sleep like year id prescribe numerous med didnt work finally psychiatrist prescribe restperil work wonder finally life back function day wish id find sooner mg work wonderful feel great morning dont feel drug havent notice side effect whatsoever
41,1,try several different brand aciphex love heartburn month unbelievable
42,1,severe gerd year take prescription prilosec work great however sudden stop work miserable couldnt sleep eat think anything much stomach esophagus hurt doctor prescribe kapidex gerd totally go away however terrible intestinal pain gas watery loose stool begin try week hop side effect would go away didnt back prilosec pain least leave bathroom
43,0,get nexplanon around month postpartum exclusively breast feed figure would easy everything suppress breast feed horrible bruise care low back pain crampiness expect get period right afterward light week subside think home free shortly afterwards begin get stress anxious irritable angry think might pregnant wasnt thats realize week nexplanon im get tomorrow bad im mean kid make son cry cant cant mean mommy anymore wish would realize sooner nexplanon
44,0,good invention first implant back expect heavy period last week month sometimes period overlap monthly happen explain doctor decide implant biggie actually ive heavy long period even magic rod yes thats call nd rod insert last year period every month though still heavy really last long still ok get anemic thank iron supplement ok feel free try harm try especially know deal
45,0,switch vyvanse capsule dextroamphetamine tablet respire good
46,1,work five minute take much get stomach pain
47,1,try prilosec first heartburn symptom notice take couple time day quickly add find spend quite bite money
48,0,put valium mg generic diazepam twice daily reason severe muscle spasm anxiety work well sleep wake feel hang like robaxin nurse aide valium highly addictive take need spasm anxiety bad
49,0,prescribe modafinil happy pick prescription friday weekend try yup wake clean thing havent clean month incredible focus didnt feel scatter didnt lose train think attention span excellent almost make wonder adhd never know anyway take mg half pill time headache nausea run couple mile okay able feel good tire even get play kid even something never happen im usually exhaust anything like overall im feel ton good
50,1,start week ago dexilant ever since symtoms get bad dizzy stomach low back pain hard swallow food pas gas burp lot would recommend drug enemy know drug make bad would take bad drug market want month pill way wonder insurance would cover believe take feel sick stop take day drug get system feel good see dr keep go hospital find nothing wrong
51,1,dream come trueuntil diarrhea come zero gerd symptom first time yr disappoint develop uncontrollable diarrhea last day stop take medication take another week symptom go away give month break try bad day hiatal hernia gerd take day symptom come back time really sad choose pain diarrhea
52,1,try almost every acid reducer make last year nothing work take prevacid mg x day severe stomach pain cramp pain right shoulder think heart attack one mg pill didnt still need antacid another dr suggest x day work take week symptom go away could eat anything periodically ive try reduce amount slowly reduce mg symptom always come back ive try generic version insurance co would cover high dose symptom come back month generic version
53,1,begin take prevacid probably year ago stop occasionally find could go long without need never think anything bad come felt wonderful heartburn need watch eat anymore wake night need antacid well year ago start severe foot ankle pain weakness last september fell yard severely break ankle require orif surgery put plate screw ankle never go mile walk use enjoy daily also develop heart palpitation high blood pressure read feel due long term use prevacid stop take almost month ago
54,1,medicine work great give headache diaharrea nausea upon wake
55,0,due stress father husband lifethreatening health issue healthy person wind doctor office explain excruciate abdominal pain weakness nausea desire sleep give prescription librax tell irritable bowel syndrome librax would help lifesaver since ive suffer three four episode none severe first two always come time life stress issue insurance negative side effect librax
56,0,im year old daughter who month old never use birth control decide go mirena im bad remember thing get mirena insert last week even though baby little painful insert say cervix pretty high next day normal drink ibuprofen youll fine get cramp week boyfriend say feel string doesnt bother tickle far good
57,0,saxenda almost month lose pound experience little side effect thing keep ask reach weight goal happen next suppose stop medication happen stop medication im afraid gain weight back anyone reach goal stop medication anyone share experience
58,0,im first colonoscopy due family history colon cancer recommend year prior parent diagnosis take first dose second pm procedure clear liquid diet day consist jello chicken broth popsicle choose drink fruit juice review mention acidity make diarhea painful suprep taste absolutely horrendoussuper salty super strong grape koolaid couldshould mix crystal light ginger ale get first dose half second gag doctor irrigate everything look great polyp recommend light diet day easy prep procedure super easy
59,1,take antacid sleep like baby wake dinner throat lung tire day great stuff person refuse take drug
60,1,recently diagnose gerd course trip hospital think heart problem doc put protonix week life back normal unfortunately insurance doesnt cover give quotquot instead quotquot rat alone many generic others cost day anyway suggest try give day work
61,0,dry spot lip right side use biafine two week clear away
62,1,best thing ever happen far medication concern year lifetime rennies similar unhelpful quotblanksquot never problem since start pantoprazole
63,0,start use halobetasol today come back write condition get good
64,1,ever since put weight irsquove experience occasional reflux week never know painful reflux could another symptom irsquove regurgitation belch time irsquoll wake cough irsquom choke regurgitate itrsquos scary leave esophagus throat burn zantac goto work every time tonight reflux felt dissipate within minute take zantac tablet pain completely go minute irsquove also start sleep head degree help
65,1,take prescription otc prilosec lose prescription coverage change otc version great result try take pill least hour lunch work well
66,1,hard time appetite get full fast help eat good still ibs attack pill without help acid reflux severe
67,1,start take prilosec year ago effective help acid gerd symptom however doctor prescribe two tablet day recommend dosagedue seriousness gerd seem fine start get horrible spasm side intestine break ankle march spasm bad spasm worsen calcium check dangerously low back prilosec spasm disappear watch calcium high dose
68,0,severe mood swing dry eye point able wear contact weight gain breast tenderness
69,1,sample give mg tell take x per day meal burn stop right away severe diarrhea day feel bloat doctor tell go liquid diet discontinue use see day
70,1,try drug gerd like pantoperazole omprezole lansoperzole ranitidine get relief use esomprezole mg get relief life saver happy find
71,0,awful night effect cabergoline mg felt like poison stomach abdominal pain much vomit diarrhoea time happen sudden time bad cramp abdominal pain bad time get combo pain diarrhoea vomit dizzy hour usually intense abdominal pain nightmare start med year ago stop cost cost doc pain work bring prolactin menstrual come back stop med everything go back prolactin level gt wish there side effect painful experience since take every week
72,1,swap zantac nexium work well zantac great trouble sleep symptom reflux go energy concentration back much good nexium one third cost available without prescription
73,1,stomach issue since childhood far doctor find underlie cause however meantime prescribe reglan work take medication need basis year dont think miracle workerbut definitely help
74,1,try every medicine none work like protonix combination carafate feel like chest pain burp burn almost completely go away side effect highly recommend medication
75,1,take first pill yesterday late day start feel lightheaded dizzy even headachy morning look sight saw dizziness one side effect
76,1,horrible side effect mouth tongue swell difficulty swallow doctor prescribe first place say symptom quotsilentquot acid reflux find rash leg heart palpitation massive stomach ache didnt thing reflux belch burp suppose cure
77,0,start mg metformin take one pill time day summer bad bad diarrhea change mg day januvia bad diarrhea late summer start invokana start november ive yeast infection thru jan also thirsty hair loss yet leg cramp painful calve leg blood sugar control ok use year insulin doc say im blood sugarts ac high dont go low year ive entertain diabetes since ive never go low dont understand concern see doc jan see go everyone right yeast infection
78,0,treatment truly transformational im round already go chronic migraine horrid aura day week first round day week second round migraine super short hour pain aura much short live minute hour instead day intensity aura really really low instead debilitate vertigo pain usually occasional instead feel like im vacation really skeptical try botox try many med prior desperate im work spend time family enjoy life try afford
79,0,struggle back forth year opiate lose everything life home job car plenty money even family kid include decide try quit success go suboxone doctor strip day successfully suboxone year relapse thing life also start come back together suboxone true life changer
80,1,work great force take something else new insurance cover
81,1,give substitute protonix due insurance conflict price work good anything long keep regular system experience minor side effect thus far include minor cramp loose stool occasional rash neck face common
82,1,acid reflux year every ppi h blocker market nothing work test test nothing find start get nausea extreme nausea nothing help finally doc prescribe reglan mind say use last resort befoer surgery consider bam work amazingly still take zantac help small bout reflux reglan help gain control back life side effect first nothing major felt restlessness leg eventually go away recommend
83,1,gerd since use prilosec nexium aciphex prevacid protonix recently none work doubledose protonix gp send gi specialist upper gastrointestina scope prescribe dexilant cure gerd symptom also settle ibs symptom use go bathroom almost immediately eat day would emergency moment didnt get bathroom quick trouble symptom go know doesnt work everyone youre like youve try need give medicine try amaze
84,1,diagnose acid reflux may see ent laryngitis id couple month follow cold use camera look throat say acid reflux severe begin take prescribe medication omeprazole begin day never experience heart burn life except pregnant believe doctor wrong still ask omeprazole mg morning mo continue use forget take one morning early afternoon bad heartburn ever cant help feel give acid reflux ill take medication rest life
85,1,great result several year generic pantoprazole except twice pharmacy use version sun pharma sure mark difference although patent lawsuit sun disclose slight difference chemical structure several year ago take sun version pretty much like take nothing take week worth time shortage teva drug usually get spend last night sick stomach gnaw pain bizarre single hiccup belch pharmacy apparently get teva brand pay full couldnt get another batch cover insurance week generic equal
86,1,try every counter gastric acid reliever planet nothing work get doctor prescribe protonix never problem please
87,0,depo provera lutera terrible mood swing terribly control bleed always depression occur switch lutera good idea low dose birth control help mood swing tremendously
88,0,great first ive stomach pain last day im rd patch sure stop
89,0,ive thing year get take first great year half start bleed heavy everyday terrible cramp back pain mood swing weight gain bad constantly bleed scar go doctor feel issue isnt important honestly cant take anymore set appointment get bottom cant even explain much pain cause hope someone explain symptom dont understand whats wrong
90,0,amaze first redness go away itch
91,1,use prevacid work well
92,0,didnt read direction start take chantix day quit smoke year take chantix week quit side effect actually amaze easy quit smoke free year
93,1,ahhhhhhhhhhhh relief take heartburn med best side affect easy swollow get rid burn best heartburn take
94,0,breakdown doctor office klonopin stop work say need something strong daily panic attack could even function part time job three day week mg twice daily affordable help like medicine ive try take chamomile tea relax ive stressful day thing get hectic work may take half one also cure insomnia feel like normal person
95,1,medicine save life pain miserable try otc stuff zantac pepcid previced many others success try omeprazole within day good great medicine would definitely recommend
96,1,prevacid year take mg day use prescription hr run fantastic never side effect completely control acid reflux heartburn stop eat tum eat whatever choose work like charm
97,0,diagnose add first child use ridalin year didnt access right doctor continue something similar take early find doctor prescribe dexidrene allow keep job due effect side effect dry mouth go away increase sex drive time make feel daze actively busy take need respect always sr sustain release use generic attest several different medication life
98,0,product pull shelve st day take moderate internal pain ndrd day inner labium fire use ice bag lady part ease painthe th day still hurt yi back x bad ive uncomfortable week dr call diflucan mei wish would do first place would recommend product bad enemy product waste money
99,0,trileptal year know feel lot good like medication hand keep tell doctor werent work finally switch different dr actually listen put trileptal dont episode thing since medication take mg daily let tell feel great wonderful would recommend medicine anone take
100,1,bad experience drug take zegrid year felt like may need something strong doctor give dexilant mg sample try experience nausea body ache stomach pain gas excessive burp second think keep use zegrid one day stop medicine symptom go away
101,0,age male allergy asthma probably decade wet spring ugly winter remove moldy insulation end doctor start help enough end get since year didnt stop fairly constant post nasal drip almost constant night get singular take ever since year im fine dandy ever since heavy workout etc problem leg cramp foot cramp hand cramp ive always get ugly take find drink water take daily multivitamin magnesium keep bay dry sensitive mouth medium hot salsa etc watch teeth
102,1,get immediate improvement switch omeprazole mg mg prevacid mg long term struggle severe acid reflux still occasionally supplement pepcid complete bedtime overall im much good
103,0,remember personal experience everyone different get mirena insert august st get remove today september heavily bleed every day past month werent husband come home two week next month might keep bite long see stop fine symptom insertion wasnt bad little cramp afterward
104,1,great medicine im mg daily due feel food stick throat bad one time purposely make vomit relief esophagus look find also small hiatal hernia doctor say quotflapperquot doesnt close stay close religiously take medicine mostly love life miss day feel miserable say year experience quotbreakthroughquot reflux one time another never second day happy
105,0,skyla place month ago child naturally may come play placement come doctor office period experience uneventful one uncomfortable pinch last le second do probably help joke assistant whole time v focus pain didnt take advil anything appointment go get tattoo hour experience long spot end period usually day period follow week spot annoy zero side effect like hubby occasionally feel overall like
106,0,think suffer topical steroid withdrawal try get skin dry red flaky think option remember protopic generic tacrolimus ask doctor able prescribe far clear skin although red skin thigh get itchy keep cause eczema sore due scratch im unaware allergen cause burn im odd think feel good sometimes especially winter recommend eczema sufferer ive use past work adult work topical steroid fail
107,0,levora approximately year start severe abdominal pain decide stop take birth control together think maybe body upset pump synthetic hormone stop take monthsit didnt help year great didnt problem itmy weight fine acne bad good mood swing drop libido end back due endometriosis time problem didnt initially spot last least week get severe headache gain lb breast tender bad part sex drive
108,1,start gerd symptom august try counter medication np precribed aciphex change discourage prescribe dexilant miracle drink cup coffee however month diarrhea side effect ill put
109,1,thank zantac gerd attack minute mg percent improvement thank much jon
110,0,nexium year
111,1,ive try everything nothing work ulcer acid reflux protonix work day get one pharmacy try use generic symptom doctor find generic brand fix problem real protonix problem solve protonics answer
112,1,mg prilosec gerd zero heartburn hour day day week forget take dose else fire monster come throat
113,1,use prevacid week new symptomatic phase gerd work take pill day cut pill day symptom gerd come back
114,0,ive trintellix thats call canada two month honestly say change life good first week bite nausea well worth find drink much use result pretty bad hangover biggie le irritable le tire felt anxiety whatsoever month feel hopeful thank trintellix
115,1,miracle pill nothing help burn ulcer nausea upset stomach like pill mg morning time releasedonly relief ive month ive lose pound since december upset stomach vomitingits amaze experience side effectsi able eat n feel normal highly recommend get tha save card script cost day supply feel normal
116,1,take dexilant week realize bad feel take drug think stomach sensitive person would put up down up feel great
117,1,really help control gerd symptom
118,1,serious problem gerd chest pain jaw pain abdominal pain back pain cause gerd make feel like die literally ive er well time alone ive prescribe everything think try anything could try help problem avail thing help chest pain milk doesnt stop completely doesnt even touch abdominal pain though excruciate dibilitating im month pregnant go labor delivery bad abdominal pain ive ever felt life prescribe carafate work min miracle drug
119,0,love mirena get mirena nov plan keep whole five year first get put really hurt bad cramp day day pain go away light spot month couple day way easy pill patch birth control dont feel string doctor check every often make sure everything ok maybe sometimes cant ruff sex end worth one yr old son want yr mirena
120,1,fight insurance company every month omeprazole life saver must take mg everyday pain unacceptable use one particular mfg brand couple year recently pharmacy send another brand concern wouldnt work either week great thankful omeprazole
121,1,medicine appear work second day heartburn little concern headache day today hop small price pay esophagus benefit medicine
122,1,take prevacid year work tremendously try go without acid reflux get bad two endoscope do prior take prevacid scar esophagus prevacid heal esophagus would definetely recommend anyone suffer gerd like
123,1,ive use prevacid year prescription insurance doctor change nexium problem come back
124,1,thank god take two pack prilosec leave story miserable month take several different otc medication finally call research facility try join study help cure gerd agent speak ask prilosec fail cure say id never try didnt qualify way determine seriousness problem prilosec couldnt cure must really bad prilosec must best otc take day cycle uncomfortable take first day dont recommend day say small improvement week sure work day late completly cure
125,0,first like people say symptom terrible abdominal back pain slight nausea mood swing general foggy feel brain couple day symptom decrease experience mood instability day replace patch ive never problem fall though tend get fuzzy around edge clothe kind kill sex drive first feel like im back normal hooray regular period baby
126,0,think ive suffer seasonal disorder adult life live alaska sun come go week wb im sure think anxiety depression next nothing feel like im miss something brain make sense im pretty much routine everyday without anger wife like improvement mood kid ill probably keep take make happy
127,1,around start severe stomach pain reflux go multiple test many medication stop reflux pain get point unable eat anything without difficulty finally go gi specialist find condition cause virus system cause white cell attack stomach end eat nerve end stomach cause severe gerd place dexilant help control pain reflux able start live normal life year old go college mother fight insurance many time cover even still threaten stop miracle drug
128,1,drug work gerd
129,0,put july thing bad since box isnt even big enough explain felt great maybe week two bleed constantly yesterday instead bearable pain pretty bad nausea sex drive go sex anywhere uncomfortable painful pain insertion site go well partner ejaculate inside twice baby worth im worry resistance remove cant take bad ill move another method clear system well see go
130,1,work great make really dizzy anyone experience
131,1,effective reduce acid four day stop nexium start protonix heartburn start take gaviscon month supply keep take end swell painful esophagus difficulty swallow vomit stop take nexium insurance long would cover
132,1,experience good preexist condition prescribe day dose dexilant order treat possible ulcer gastritis intestine severe abdominal pain week medicine treat pain quite effectively get mild cramp experience side effect include diarrhea back pain slight irregular heartbeat however mitigate stomach pain quite well symptom seem slowly improve good short term treatment wouldnt recommend long term treatment least ulcer gastritis due side effect
133,1,soacid blocker pretty much change life first pepcid prescription zantac ppis ppis bite good get acephix nexium wonder drug come chronic gastro issue eventually lead week long stay hospital ulcer anyway take nexium work great prescription plan cover patent run put otc get generic amp good good otc nexium suck barock insane bonghit stumble whitehouse screw healthcare generic nexium cover prescription plan thank guy really know ho screw thing
134,1,first day kapidex must say never felt good nexium aciphex side effect first day cant say wont side effect completely normal day forget felt like feel normal right today life good
135,0,year old female take atenolol high pulse fast heart beat scary feel also heart palpitation nervous wreck would wake morning heart pound breath doctor start atenolol mg week ago never felt normal actually wake morning feel good walk every day strict diet problem thank goodness atenolol
136,1,best medicine far
137,0,im male use retina micro gel year ive try everything proactive accutane counter medicine nothing help like retina micro gel sure initial breakout begin skin smooth acne free healthy bright dont even care initial breakout month use acne free thank medication stop use
138,1,drug doctor try several work packet best since medicare supplement rx want cover price go day im generic pill expense since drug put donut hole medicare month supply generic drug cost dollar pay suffer affect drug company make kill really really good drug stomach suffer
139,1,work great gerd doesnt seem work well mgsday stomach ulcer
140,0,week mg yeast infection yes pee normal amount force drink rarely felt real thirst always felt retain water especially eat carbs drink pee manageable night best thing notice energy slow sure weight loss normal amount food lose lb far wake morning easy energy mean exercise far good love feel normal like young
141,0,first get implanon didnt stop bleed doctor give medication day help well year still bleed every week ive gain weight main issue bleed inconvenience wait take form birth control effective would advise someone doesnt practice safe sex
142,1,use month change life year pain see doctor doctor think gallbladder pain last day ive feel good old symptom back sure something eat head back doctor day overall medicine help tremendously past month
143,0,work great almost immediate
144,1,pantoprazole help acid reflux problem start four year take month experience flu like symptom muscle joint ache diarrhea weakness extreme fatigue many test do tell vitamin deficient know med control stomach acid also block absorption vitamin thing body need stop take pantoprazole put prescription vitamin one week felt like new person cut food bother stomach cut portion half may chew tum feel great watch long doctor drug take four year side effect
145,0,warn already history depression depressive episode medication x bad take lightly good support system tread lightly choose take medication depressive history topiramate part qsymia make extreme mood shift first time take continually notice short attention span memory recall retention issue problem effective regard appetite control crave use many shed significant poundage pound month enough want continue medication also exercise due job
146,0,hi genuinely want low cholesterol try yet statin fourth time halve medication mg per day gp want increase know statin give muscle pain decide keep medication low notice lot weight gain increase blood pressure sense lack energy radically alter diet everything include cook oil low fat dairy extreme lean meat increase veges fruit bp go within month cholesterol drop pravastatin maybe low dose however discontinue use due onset worsen shoulder pain leave rib cage float pain leave neck pain become chronic
147,0,try several pain medication year chronic abdominal pain ive multiple surgery cause nerve damage scar tissue abdomen recent medicine try opana er mg x daily percocet mg x daily breakthrough pain doctor prescribe methadone mg x daily try something different still breakthrough pain add nucynta mg time daily admit skeptic believer medication work wonder take one month aside sleepy feel really side effect energy never think could love medicine
148,1,use replacement nexium since insurance refuse cover nexium work like charm gerd control sometimes bite hassle wait half hour eat morning especially hurry incredibly mild inconvenience compare benefit
149,0,well get mine insert july september bleed since day heavy spot bite annoy depo yr stop period completely implant ok spot everyday want drive crazy mood swing etc
150,0,ir version agree person comment forget eat lose pound last six month remember eat state get foggy head kind high feel time eat something remember take vitamin since dont eat much fine old could study cpa exam could keep mind focus study material work performance improve phenomenally well bos notice next review even comment seem different attention detail improve stay focus task much good make wish do something like long ago
151,1,symptom gerd nag chronic cough seem originate back throat lung would occur suddenly without warn could get relief pop hall cough drop cough frequent time day also clear throat time voice become gravelly time coworkers give grief cough try several medication pcp refer gastroenterologist give prescribe zegerid take mg twice daily cough improve next day disappear almost month however nag cough begin creep back along throatclearing gravelvoice
152,0,take mg x daily brintellix dosage knock depressive symptom effectively anxiety unchanged doctor go try clonazepam anxiety issue really please brintellix do depression little year wean paroxetine try fluoxetine duloxetine bupropion vary undesirable side effect whole time ive also take trazodone problem sleep look forward see clonazepam work brintellix
153,0,use use oxy per day druggy year suboxone save life sure
154,0,effect side effect nothing pristiq tout powerful antidepressant antianxiety drug build besides clinical depression struggle ptsd agoraphobia anxiety disorder year pristiq mood range nervous suicidal several anxiety attack always public place certainly capable normal life two week ago decide stop mg day dose experience withdrawls head clear begin set amp meet small goal cry lot example music good cry thought sometimes label quotirrationalquot eg often believe script placebo pristiq
155,0,vyvance year work really well however year go mouth get dry dry could eat soft food talk doctor go middle january week ago start new med call adderallxr feel mouth start dry like vyvance usa find mini quotbrush goquot toothbrush make colgate call wisp max fresh dryness teeth always feel like film today use one brush really make teeth dryness feel good need water rinse maybe cut gum candy well see
156,0,medicine okay certainly get rid paranoid thought never get rid still lot especially present night id think serial killer outside watch serial killer room chair pretty terrify start geodon week ago thought completely disappear im grateful risperdal also make gain lot weight every year make hungry even meal im lb im scar lb ive medicine since severely psychotic couldnt function guess help make gain lot weight im
157,1,doc prescribe didnt think would help since main symptom shortness breath chest tightness rarely heartburn leave cabinet month recur stomach pain land er blood test urine test ultrasound come back normal doc suggest prilosec finally cave kid within first day stomach pain disappear best night sleep first day could remember realize actually heartburn wake contribute early wake anxiety poor sleep habit absolutely side effect eat whatever want feel like new person one week hop last day
158,1,acid reflux year ive take nexium take reflux way insurance pay take protonix tab mg per day get heart burn heart burn bad take tum time happy must keep look good med
159,0,omg rd yeast infection irsquove ever life far bad irsquove experience monistat single dose application although feel every uncomfortable prior medication pain medication beyond comprehension know medication doesnrsquot work instantly gosh hurt make anything good begin feel intense burn itch sensation go bathroom urinate far bad feel burn continue day night finally able go sleep wake morning burn go away go dr
160,0,celebrex medicine signifcantly relieve knee pain allow walk almost complete comfort take need everyday per doctor recommendation since high blood pressure control medicine high cholesterol take long one month row without take significant break medicine afterward however take x mg pill particularly active day ahead significant side effect
161,1,try everything protonix year eat anything spicy hot like acid reflux
162,1,dexilant month relief give diagnosis yet still test severe chest throat discomfort burp constantly feel terrible worry acid damage esophagus
163,1,fast act side effect
164,0,take birth control little year first experience every list side effect week everything go back normal never regular period apri entire time take regular complication increase pain gain least lb acne increase bite end year start get really weird back side pain week complain didnt know soon pain become bad painful walk go er send home within day leave leg start swell day couldnt stand straight much le walk go er turn dvt leave leg pe
165,0,stage lymph bone bone metastasis never infusion chemo due autonomic diabetic nerve damage hormone treatment fail tamoxifen give terrible forgetfulness take xeloda month scan show cancer go except giant ulcer chest xeloda fail cancer spread rapidly affinitor work quickly visible change two week four week ulcer show definitely good month cat scan show cancer active ulcer third small still heal cancer itch totally relieve although iching large tumor heal nose slight bleed issue early summer humidity problem chronic slight cough congestion short breath walk
166,0,tend suffer regular bout constipation find miralax powderbased laxative little effect decide give dulcolax shoot trip uncomfortable bloat strenuous activity take three tablet im quot lb usually take max dose friday pm horrible cramp chill cold sweet weakness constant run felt like take pillform food poison monday still unable eat anything without go straight worth dulcolax advise people ever take three awful experience
167,0,lyza month get period first month begin see since side effect recently tender breast mood swing bloat take two home pregnancy test come negative gain pound since begin lyza like menstruate scary especially symptom begin show similar pregnancy side effect
168,0,miserable experience could wait remove copper inside body cause pelvic inflammation bad pain
169,1,one word wonderful
